JD_ID,Candidate_ID,Eligible,Eligibility_reason,Final_Rank_Per_JD,skills_score,experience_score,education_score,availability_score,misc_score,relocation_flag,work_visa_flag,career_gap_flag,education_gap_flag,certification_score,overqualification_flag,career_stability_flag,LLM_Justification
JD_001,CD_S0001,YES,Strong ML + backend + distributed systems,1,92,90,88,85,90,FALSE,TRUE,FALSE,FALSE,85,FALSE,FALSE,"Top match: Strong Python, ML, NLP, distributed tools (Kafka, ElasticSearch). Experience aligned with scalable systems. No penalties. Rank 1."
,,,,,,,,,,,,,,,,,
JD_001,CD_S0027,YES,Backend + production system experience,2,80,85,80,85,78,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Strong Java backend experience in payment systems. Good system design exposure but lacks ML. Rank 2.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0025,YES,Full stack backend developer,3,75,70,80,85,72,FALSE,TRUE,FALSE,FALSE,75,FALSE,TRUE,Java full stack developer with limited scale exposure. Stability concern due to short tenure. Rank 3.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0002,YES,Junior ML engineer,4,70,60,85,85,68,FALSE,TRUE,FALSE,FALSE,70,FALSE,FALSE,Basic ML + AWS exposure but low experience. Suitable for junior role. Rank 4.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0003,YES,Entry-level data science candidate,5,60,50,85,85,60,FALSE,TRUE,FALSE,FALSE,60,FALSE,TRUE,Very junior profile with minimal experience. Education strong but lacks production exposure. Rank 5.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0026,YES,Java developer basic experience,6,65,60,75,85,65,FALSE,TRUE,FALSE,FALSE,65,FALSE,TRUE,Basic Java web developer. Limited real-world experience. Stability concerns. Rank 6.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0032,YES,SAP developer with backend exposure,7,55,70,75,85,60,FALSE,TRUE,FALSE,FALSE,60,FALSE,FALSE,Enterprise backend exposure but not aligned with distributed systems. Rank 7.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0033,YES,SAP consultant technical role,8,50,65,75,85,58,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,SAP technical experience but lacks core backend/distributed system skills. Rank 8.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0028,YES,Business analyst with tech exposure,9,45,70,75,85,55,FALSE,TRUE,FALSE,FALSE,50,FALSE,FALSE,BA with technical understanding but not hands-on engineering. Rank 9.
,,,,,,,,,,,,,,,,,
JD_001,CD_S0030,YES,Senior BA with system exposure,10,40,75,75,85,60,FALSE,TRUE,FALSE,FALSE,55,FALSE,FALSE,Experienced BA with SDLC exposure but lacks coding/system design depth. Rank 10.
,,,,,,,,,,,,,,,,,
JD_002,CD_007_KL,YES,Strong CTO with DevOps + CI/CD + platform leadership,1,95,100,85,85,95,FALSE,TRUE,FALSE,FALSE,90,TRUE,FALSE,"Top match. 15+ yrs leadership, built CI/CD pipelines (Azure DevOps, CircleCI), DevOps (Kubernetes, Docker), led multi-region teams, architecture ownership. Strongest fit for engineering productivity leadership."
,,,,,,,,,,,,,,,,,
JD_002,CD_009_LBC,YES,Enterprise architect + DevOps + large-scale delivery,2,93,100,90,85,92,FALSE,TRUE,FALSE,FALSE,95,TRUE,FALSE,"17 yrs experience, microservices, CI/CD, cloud (AWS, OCP), led teams, migration projects. Strong engineering productivity and platform experience. Slightly less infra-tooling depth than Rank 1."
,,,,,,,,,,,,,,,,,
JD_002,CD_011_TB,YES,Solution architect with DevOps + CI/CD optimization,3,90,100,85,85,90,FALSE,TRUE,FALSE,FALSE,85,TRUE,FALSE,"18 yrs experience, improved build time 4 hrs → 20 mins, strong DevOps + architecture + Azure. Direct alignment with developer productivity goals."
,,,,,,,,,,,,,,,,,
JD_002,CD_013_ARB,YES,Systems programming + platform engineering depth,4,88,100,90,85,88,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"19 yrs systems programming (C++, Linux), multi-threading, infra-level work. Strong low-level system expertise but weaker modern DevOps tooling."
,,,,,,,,,,,,,,,,,
JD_002,CD_002_ABN,YES,Data platform + CI/CD + leadership,5,85,100,90,85,88,FALSE,TRUE,FALSE,FALSE,95,FALSE,FALSE,"18+ yrs, strong data engineering platforms, CI/CD pipelines, Azure, Snowflake. Good leadership but less focus on developer tooling systems."
,,,,,,,,,,,,,,,,,
JD_002,CD_008_KU,YES,Lead engineer with CI/CD + DevOps exposure,6,85,85,90,85,85,FALSE,TRUE,FALSE,FALSE,80,FALSE,FALSE,"6+ yrs, strong CI/CD (Jenkins), OpenShift, AWS, migration experience, team leadership. Lacks scale/years for true lead role."
,,,,,,,,,,,,,,,,,
